date,entrante,sortante,remarque
2025-12-22,Eiffage,Edenred,
2025-09-22,Euronext,Teleperformance,
2024-12-23,Bureau Veritas,Vivendi,
2024-03-18,Accor,Alstom,
2023-12-18,Vivendi,Worldline,
2023-06-19,Edenred,Vivendi,
2021-09-17,Eurofins Scientific,Atos,
2020-09-21,Alstom,Accor,
2020-06-22,Teleperformance,Sodexo,
2020-03-23,Worldline,TechnipFMC,
2019-06-24,Thales,Valeo,
2019-06-24,,Worldline,Worldline sort sans remplaçant (l'indice revient à 40 après l'entrée temporaire du 3 mai 2019)
2019-05-03,Worldline,,Scission d'Atos : 41 valeurs temporairement
2018-09-24,Dassault Systèmes,Solvay,
2018-06-18,Hermès,LafargeHolcim,
2017-09-18,STMicroelectronics,Nokia,
2017-03-20,Atos,Klépierre,
2016-03-21,Sodexo,Alstom,
2016-01-07,Nokia,Alcatel-Lucent,Fusion
2015-12-21,Klépierre,EDF,
2015-03-23,PSA Peugeot Citroën,Gemalto,
2014-06-23,Valeo,Vallourec,
2013-12-23,Alcatel-Lucent,STMicroelectronics,
2012-12-24,Gemalto,Alcatel-Lucent,
2012-09-24,Solvay,PSA Peugeot Citroën,
2011-12-19,Legrand,Suez Environnement,
2011-09-19,Safran,Natixis,
2010-09-20,Natixis,Dexia,
2010-09-20,Publicis,Lagardère,
2009-09-21,Technip,Air France-KLM,
2008-09-22,Suez Environnement,,Scission : 41 valeurs temporairement
2008-07-22,GDF Suez,GDF,Fusion GDF + Suez
2008-07-22,,Suez,Fusion GDF + Suez
2007-09-03,ArcelorMittal,Mittal Steel,Fusion
2007-06-18,Air France-KLM,AGF,
2007-06-18,Unibail-Rodamco,Thomson,
2006-12-18,Vallourec,Publicis,
2006-09-18,Mittal Steel,Arcelor,OPA
2006-07-28,Alstom,Thales,
2005-12-19,EDF,TF1,
2005-09-01,Gaz de France,Casino,
2005-01-03,Essilor International,Sodexo,
