societe,alias_fichier,ticker_yahoo,ticker_debut,ticker_fin,place,membre_actuel,remarque,donnees_attendues,plage_dates_disponibles
Accor,Accor,AC.PA,,,Paris,oui,,oui,non testé
Air Liquide,,AI.PA,,,Paris,oui,,oui,non testé
Airbus,,AIR.PA,,,Paris,oui,Airbus Group renommé Airbus en 2017 (même ticker),oui,non testé
ArcelorMittal,ArcelorMittal,MT.AS,,,Amsterdam,oui,Cotation principale Amsterdam (aussi cotée à Paris),oui,non testé
AXA,,CS.PA,,,Paris,oui,,oui,non testé
BNP Paribas,,BNP.PA,,,Paris,oui,,oui,non testé
Bouygues,,EN.PA,,,Paris,oui,,oui,non testé
Bureau Veritas,Bureau Veritas,BVI.PA,,,Paris,oui,,oui,non testé
Capgemini,,CAP.PA,,,Paris,oui,,oui,non testé
Carrefour,,CA.PA,,,Paris,oui,,oui,non testé
Crédit Agricole,,ACA.PA,,,Paris,oui,,oui,non testé
Danone,,BN.PA,,,Paris,oui,,oui,non testé
Dassault Systèmes,Dassault Systèmes,DSY.PA,,,Paris,oui,,oui,non testé
Eiffage,Eiffage,FGR.PA,,,Paris,oui,,oui,non testé
Engie,,ENGI.PA,,,Paris,oui,ex-GDF Suez (renommé 2015),oui,non testé
EssilorLuxottica,,EL.PA,,,Paris,oui,Essilor International renommé EssilorLuxottica en 2018 (ex-ticker EI.PA),oui,non testé
Eurofins Scientific,Eurofins Scientific,ERF.PA,,,Paris,oui,,oui,non testé
Euronext,Euronext,ENX.PA,,,Paris,oui,,oui,non testé
Hermès,Hermès,RMS.PA,,,Paris,oui,,oui,non testé
Kering,,KER.PA,,,Paris,oui,,oui,non testé
Legrand,,LR.PA,,,Paris,oui,,oui,non testé
L'Oréal,,OR.PA,,,Paris,oui,,oui,non testé
LVMH,,MC.PA,,,Paris,oui,,oui,non testé
Michelin,,ML.PA,,,Paris,oui,,oui,non testé
Orange,,ORA.PA,,,Paris,oui,,oui,non testé
Pernod Ricard,,RI.PA,,,Paris,oui,,oui,non testé
Publicis,,PUB.PA,,,Paris,oui,,oui,non testé
Renault,,RNO.PA,,,Paris,oui,,oui,non testé
Safran,,SAF.PA,,,Paris,oui,,oui,non testé
Saint-Gobain,,SGO.PA,,,Paris,oui,,oui,non testé
Sanofi,,SAN.PA,,,Paris,oui,Toujours membre (pas de ligne Sanofi 2022 dans ce fichier ; plus forte hausse du CAC 40 le 24/06/2022),oui,non testé
Schneider Electric,,SU.PA,,,Paris,oui,,oui,non testé
Société Générale,,GLE.PA,,,Paris,oui,,oui,non testé
Stellantis (ex-PSA),PSA Peugeot Citroën,UG.PA,,2021-01-15,Paris,oui,PSA (UG.PA) jusqu'à la fusion ; titre radié en janv. 2021,probablement non (radié),non testé
Stellantis (ex-PSA),PSA Peugeot Citroën,STLAP.PA,2021-01-18,,Paris,oui,Stellantis ; membre sans interruption (ex-ticker STLA.PA),oui,non testé
